ReleaseID:9600
KernelBaseAddr:FFFFF802F9607000
PsInitialSystemProcessAddress:FFFFE00114A358C0
UniqueProcessId:00000004;System
*************************
EProcess;UniqueID;ImageFilename
FFFFE001163FD040;336;smss.exe;610C3E
FFFFE0011649F8C0;452;csrss.exe;610C3E
FFFFE00117DA3080;516;wininit.exe;000C
FFFFE00117D7D8C0;536;csrss.exe;610C3E
FFFFE00117D718C0;592;winlogon.exe;000C
FFFFE00118075080;660;services.exe;610C3E
FFFFE001187FD080;668;WerFault.exe;0000
FFFFE00117D31080;676;lsass.exe;000C
FFFFE001167B38C0;764;svchost.exe;0000
FFFFE0011679A380;808;svchost.exe;0000
FFFFE00117FDC600;912;dwm.exe;0000
FFFFE00118180080;928;atiesrxx.exe;0000
FFFFE0011884F080;992;svchost.exe;0000
FFFFE00118810780;1016;svchost.exe;0000
FFFFE001181F9080;288;svchost.exe;0000
FFFFE00118190080;384;atieclxx.exe;0000
FFFFE0011818D8C0;448;igfxCUIService;0000
FFFFE0011643F8C0;412;svchost.exe;0000
FFFFE00118F9D080;1100;svchost.exe;0000
FFFFE001191FA600;1336;spoolsv.exe;0000
FFFFE001191FD780;1360;svchost.exe;0000
FFFFE001193558C0;1516;svchost.exe;0000
FFFFE0011676B380;1536;AppleMobileDev;0000
FFFFE001193768C0;1596;mDNSResponder.;0000
FFFFE0011936A2C0;1620;svchost.exe;0000
FFFFE0011939C600;1640;dasHost.exe;0000
FFFFE0011938C080;1676;Ext2Srv.exe;0000
FFFFE00119404080;1732;imdsksvc.exe;0000
FFFFE0011943D340;1752;IDWinService.e;0000
FFFFE0011947E8C0;1780;IpOverUsbSvc.e;0000
FFFFE0011945E080;1788;InputDirectorS;0000
FFFFE001194808C0;1848;openvpnserv.ex;0000
FFFFE001194E0080;1912;qcmtusvc.exe;0000
FFFFE001194C3080;1960;StarWindServic;0000
FFFFE001194FC4C0;1976;svchost.exe;0000
FFFFE001194F5080;1996;svchost.exe;0000
FFFFE00119528080;1084;vmnat.exe;0000
FFFFE00119537080;1212;MsMpEng.exe;310737
FFFFE001195AA1C0;1480;TinyWall.exe;0000
FFFFE001195C08C0;1260;vmware-authd.e;0000
FFFFE00119810800;2156;vmnetdhcp.exe;0000
FFFFE001185168C0;2172;vmware-usbarbi;0000
FFFFE00116C09080;2596;taskhostex.exe;0000
FFFFE0011850E8C0;2708;vmware-hostd.e;0000
FFFFE0011924C080;1828;explorer.exe;0000
FFFFE0011964F080;1284;GoogleCrashHan;0000
FFFFE001183EB080;3032;GoogleCrashHan;0000
FFFFE00119679240;3156;HWiNFO64.EXE;0000
FFFFE00119E4D8C0;3388;NisSrv.exe;310737
FFFFE00114B8B740;3440;PresentationFo;0000
FFFFE00114BAA080;3576;svchost.exe;0000
FFFFE00114BD88C0;3644;svchost.exe;0000
FFFFE00119F3E080;3844;igfxEM.exe;0000
FFFFE00119F33080;3876;igfxHK.exe;0000
FFFFE00119F2B080;3892;igfxTray.exe;0000
FFFFE0011974C200;4440;ClassicStartMe;0000
FFFFE001191D6080;5040;RuntimeBroker.;0000
FFFFE00118A7C080;5028;TinyWall.exe;0000
FFFFE0011A355140;2776;WmiPrvSE.exe;0000
FFFFE0011A28D480;3924;Greenshot.exe;0000
FFFFE0011900B780;2660;iTunesHelper.e;0000
FFFFE0011A2C4080;864;MpCmdRun.exe;0000
FFFFE00119FD5740;4532;3RVX.exe;0000
FFFFE0011A3CE8C0;2684;WmiPrvSE.exe;0000
FFFFE0011A3263C0;4668;iPodService.ex;0000
FFFFE001189AE080;3200;chrome.exe;0000
FFFFE0011A1D68C0;4388;chrome.exe;0000
FFFFE0011A3CB080;5136;chrome.exe;0000
FFFFE0011A6528C0;5152;chrome.exe;0000
FFFFE0011A7A5080;5248;chrome.exe;0000
FFFFE001197F7340;5384;chrome.exe;0000
FFFFE0011A1A48C0;5404;chrome.exe;0000
FFFFE0011A0808C0;5412;chrome.exe;0000
FFFFE0011A19F8C0;5420;chrome.exe;0000
FFFFE0011A80C8C0;5436;chrome.exe;0000
FFFFE0011A804240;5444;chrome.exe;0000
FFFFE0011A84B8C0;5452;chrome.exe;0000
FFFFE0011A8488C0;5464;chrome.exe;0000
FFFFE0011A8458C0;5472;chrome.exe;0000
FFFFE0011A9018C0;5984;chrome.exe;0000
FFFFE0011A91F8C0;5992;chrome.exe;0000
FFFFE0011A83C8C0;6024;chrome.exe;0000
FFFFE001191848C0;6436;vmware-tray.ex;0000
FFFFE0011B2B08C0;7152;Rainmeter.exe;0000
FFFFE0011B38C8C0;6556;audiodg.exe;121414
FFFFE0011A1A18C0;6524;chrome.exe;0000
FFFFE0011B1F98C0;7272;chrome.exe;0000
FFFFE0011ADE1640;7980;chrome.exe;0000
FFFFE0011B15E8C0;7604;chrome.exe;0000
FFFFE0011B0AA080;2896;iptoolsv2.exe;0000
FFFFE0011ACC0740;5784;cmd.exe;0000
FFFFE0011AC1D2C0;5076;conhost.exe;0000
FFFFE0011ABAA780;4300;chrome.exe;0000
FFFFE0011A17D8C0;4696;chrome.exe;0000
FFFFE00114E688C0;5176;chrome.exe;0000
FFFFE001150578C0;3296;explorer.exe;0000
FFFFE001151348C0;1988;dumpcap.exe;0000
FFFFE0011512A8C0;5016;chrome.exe;0000
FFFFE001150C78C0;760;taskhost.exe;0000
FFFFE00114EDE8C0;4576;GitHubDesktop.;0000
FFFFE001181298C0;6268;GitHubDesktop.;0000
FFFFE001150788C0;6784;GitHubDesktop.;0000
FFFFE001151398C0;3272;GitHubDesktop.;0000
FFFFE0011A20F8C0;6520;chrome.exe;0000
FFFFE001152A08C0;6412;notepad++.exe;0000
FFFFE0011511F8C0;3136;WmiPrvSE.exe;0000
FFFFE0011B37B8C0;5868;WmiApSrv.exe;0000
FFFFE0011511F080;3436;TrustedInstall;0000
FFFFE0011AF3B4C0;7708;memRW.exe;0000
closehandle:OK
